物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300427,螺栓副_GB/T5783_M10*75_8.8-电镀锌,11020111128,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300380,螺栓副_GB/T5783_M10*90_8.8-电镀锌,AAD1009001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300177,螺栓副_GB/T5783_M12*110_8.8-电镀锌,AAD1211001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300303,螺栓副_GB/T5783_M12*120_8.8-电镀锌,AAD1212001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300162,螺栓副_GB/T5783_M12*125_8.8-电镀锌,TDGG00116,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300345,螺栓副_GB/T5783_M12*140_8.8-电镀锌,AAD1214001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300348,螺栓副_GB/T5783_M12*20_8.8-电镀锌,AAD1202001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300046,螺栓副_GB/T5783_M12*30_8.8-电镀锌,AAD1203001,FAA01201,GAB01201,GBG01201,GAE01201,1,
AAC1203001_SS,螺栓副_GB/T5783_M12*30_8.8-电镀锌_一母双平一弹,AAD1203001,FAA01201,GAB01201,GBG01201,GAE01201,2,
11140300047,螺栓副_GB/T5783_M12*35_8.8-电镀锌,AAD1203501,FAA01201,GAB01201,GBG01201,GAE01201,1,
AAC1203501_SS,螺栓副_GB/T5783_M12*35_8.8-电镀锌_一母双平一弹,AAD1203501,FAA01201,GAB01201,GBG01201,GAE01201,2,
11140300048,螺栓副_GB/T5783_M12*40_8.8-电镀锌,AAD1204001,FAA01201,GAB01201,GBG01201,GAE01201,1,
AAC1204001_SS,螺栓副_GB/T5783_M12*40_8.8-电镀锌_一母双平一弹,AAD1204001,FAA01201,GAB01201,GBG01201,GAE01201,2,
11140300028,螺栓副_GB/T5783_M12*45_8.8-电镀锌,AAD1204501,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300050,螺栓副_GB/T5783_M12*50_8.8-电镀锌,AAD1205001,FAA01201,GAB01201,GBG01201,GAE01201,1,
AAC1205001_SS,螺栓副_GB/T5783_M12*50_8.8-电镀锌_一母双平一弹,AAD1205001,FAA01201,GAB01201,GBG01201,GAE01201,2,
11140300052,螺栓副_GB/T5783_M12*55_8.8-电镀锌,AAD1205501,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300107,螺栓副_GB/T5783_M12*60_8.8-电镀锌,AAD1206001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300054,螺栓副_GB/T5783_M12*70_8.8-电镀锌,AAD1207001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300167,螺栓副_GB/T5783_M12*80_8.8-电镀锌,AAD1208001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300056,螺栓副_GB/T5783_M12*90_8.8-电镀锌,AAD1209001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300314,螺栓副_GB/T5783_M14*130_8.8-电镀锌,AAD1413001,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300224,螺栓副_GB/T5783_M14*35_8.8-电镀锌,AAD1403501,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300121,螺栓副_GB/T5783_M14*40_8.8-电镀锌,AAD1404001,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300148,螺栓副_GB/T5783_M14*45_8.8-电镀锌,AAD1404501,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300166,螺栓副_GB/T5783_M14*50_8.8-电镀锌,AAD1405001,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300154,螺栓副_GB/T5783_M14*55_8.8-电镀锌,AAD1405501,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300057,螺栓副_GB/T5783_M14*60_8.8-电镀锌,AAD1406001,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300165,螺栓副_GB/T5783_M14*65_8.8-电镀锌,AAD1406501,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300315,螺栓副_GB/T5783_M14*90_8.8-电镀锌,AAD1409001,FAA01401,GAB01401,GBG01401,GAE01401,1,
11140300058,螺栓副_GB/T5783_M16*100_8.8-电镀锌,AAD1610001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300244,螺栓副_GB/T5783_M16*110_8.8-电镀锌,AAD1611001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300393,螺栓副_GB/T5783_M16*120_8.8-电镀锌,AAD1612001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300392,螺栓副_GB/T5783_M16*130_8.8-电镀锌,AAD1613001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300275,螺栓副_GB/T5783_M16*140_8.8-电镀锌,AAD1614001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300394,螺栓副_GB/T5783_M16*150_8.8-电镀锌,TDGG00117,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300157,螺栓副_GB/T5783_M16*160_8.8-电镀锌,AAD1616001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300335,螺栓副_GB/T5783_M16*180_8.8-电镀锌,AAD1618001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300156,螺栓副_GB/T5783_M16*200_8.8-电镀锌,AAD1620001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300059,螺栓副_GB/T5783_M16*30_8.8-电镀锌,AAD1603001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300060,螺栓副_GB/T5783_M16*35_8.8-电镀锌,AAD1603501,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300061,螺栓副_GB/T5783_M16*40_8.8-电镀锌,AAD1604001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300270,螺栓副_GB/T5783_M16*45_8.8-电镀锌,AAD1604501,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300062,螺栓副_GB/T5783_M16*50_8.8-电镀锌,AAD1605001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300269,螺栓副_GB/T5783_M16*55_8.8-电镀锌,AAD1605501,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300063,螺栓副_GB/T5783_M16*55_8.8-电镀锌_用SP0001456替代,AAD1605501,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300064,螺栓副_GB/T5783_M16*60_8.8-电镀锌,AAD1606001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300065,螺栓副_GB/T5783_M16*65_8.8-电镀锌,AAD1606501,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300066,螺栓副_GB/T5783_M16*70_8.8-电镀锌,AAD1607001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300068,螺栓副_GB/T5783_M16*75_8.8-电镀锌,11020101071,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300069,螺栓副_GB/T5783_M16*80_8.8-电镀锌,AAD1608001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300070,螺栓副_GB/T5783_M16*90_8.8-电镀锌,AAD1609001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300158,螺栓副_GB/T5783_M18*100_8.8-电镀锌,AAD1810001,FAA01801,GAB01801,GBG01801,GAE01801,1,
11140300322,螺栓副_GB/T5783_M18*140_8.8-电镀锌,AAD1814001,FAA01801,GAB01801,GBG01801,GAE01801,1,
